name,link
apples, https://unsplash.com/photos/yiHeWtjXuas/download?force=true&w=1920
bananas, https://unsplash.com/photos/fczCr7MdE7U/download?force=true&w=1920
oranges, https://unsplash.com/photos/VEQu7a2yN6E/download?force=true&w=1920
lemons, https://unsplash.com/photos/uhqWvAWeskw/download?force=true&w=1920
strawberries, https://unsplash.com/photos/j2qY5wJma88/download?force=true&w=1920
grapes, https://unsplash.com/photos/xSg_-tuuJsI/download?force=true&w=1920
avocados, https://unsplash.com/photos/EUEWT74ImEU/download?force=true&w=1920
tomatoes, https://unsplash.com/photos/6Z7Ss9jlEL0/download?force=true&w=1920
cucumbers, https://unsplash.com/photos/Ky6x9T8j128/download?force=true&w=1920
carrots, https://unsplash.com/photos/y1-rEwCZkPg/download?force=true&w=1920
potatoes, https://unsplash.com/photos/B0s3Xndk6tw/download?force=true&w=1920
onions, https://unsplash.com/photos/CNZ-9s5p2i8/download?force=true&w=1920
garlic, https://unsplash.com/photos/vIiye0QDryo/download?force=true&w=1920
bell-peppers, https://unsplash.com/photos/gpP-OkJ5BbI/download?force=true&w=1920
lettuce, https://unsplash.com/photos/mJHF7dlPeIo/download?force=true&w=1920
spinach, https://unsplash.com/photos/6AAptb2kBak/download?force=true&w=1920
broccoli, https://unsplash.com/photos/Dof-Xo3bHEA/download?force=true&w=1920
mushrooms, https://unsplash.com/photos/--9pYUo2f04/download?force=true&w=1920
zucchini, https://unsplash.com/photos/UZwzV_roK18/download?force=true&w=1920
milk, https://unsplash.com/photos/c6TKtsi8C1k/download?force=true&w=1920
eggs, https://unsplash.com/photos/leOh1CzRZVQ/download?force=true&w=1920
butter, https://unsplash.com/photos/M5YUW0YVgig/download?force=true&w=1920
cheddar-cheese, https://unsplash.com/photos/JJcT6VJWDlg/download?force=true&w=1920
yogurt,
cream,
feta-cheese, https://unsplash.com/photos/KaK2jp8ie8s/download?force=true&w=1920
cream-cheese, https://unsplash.com/photos/6u-BmCl21VY/download?force=true&w=1920
chicken-breast, https://unsplash.com/photos/HsEnMY-ZYO8/download?force=true&w=1920
ground-beef, https://unsplash.com/photos/bFgXY41C5R4/download?force=true&w=1920
beef-steak, https://unsplash.com/photos/sV8Cl0_3UcY/download?force=true&w=1920
lamb-chops, https://unsplash.com/photos/cvj-7TZjvA0/download?force=true&w=1920
sausages, https://unsplash.com/photos/ipcIeLJsoNg/download?force=true&w=1920
bacon, https://unsplash.com/photos/o_qvA6R7hgs/download?force=true&w=1920
salmon, https://unsplash.com/photos/jLZMZeLaf5k/download?force=true&w=1920
shrimp, https://unsplash.com/photos/qDDrVc4uCH0/download?force=true&w=1920
sea-bass, https://unsplash.com/photos/sEqo82gbhUY/download?force=true&w=1920
squid, https://unsplash.com/photos/AQA9yHwebnY/download?force=true&w=1920
bread, https://unsplash.com/photos/N4gtuEZ5gWc/download?force=true&w=1920
baguette, https://unsplash.com/photos/6x0BG2emMuU/download?force=true&w=1920
pita-bread, https://unsplash.com/photos/mc-5rj9vi8Q/download?force=true&w=1920
croissants, https://unsplash.com/photos/sqkXyyj4WdE/download?force=true&w=1920
bagels, https://unsplash.com/photos/lIQRPsA43tw/download?force=true&w=1920
tortillas, https://unsplash.com/photos/4GDW-Rt4BVQ/download?force=true&w=1920
sugar, https://unsplash.com/photos/TXVntZ190Ao/download?force=true&w=1920
flour, https://unsplash.com/photos/xw8pttN8MBg/download?force=true&w=1920
salt, https://unsplash.com/photos/AKTxcbR5f6k/download?force=true&w=1920
baking-powder,
honey, https://unsplash.com/photos/Asj5DFw8UAw/download?force=true&w=1920
peanut-butter, https://unsplash.com/photos/u256GzFi7Gw/download?force=true&w=1920
yeast, https://unsplash.com/photos/g5bBA0stnwk/download?force=true&w=1920
cornstarch,
rice, https://unsplash.com/photos/M5hX7319EBA/download?force=true&w=1920
spaghetti, https://unsplash.com/photos/Mzh95zPmOIM/download?force=true&w=1920
penne, https://unsplash.com/photos/ivrEAgS8814/download?force=true&w=1920
couscous, https://unsplash.com/photos/eB6UutJ3SGM/download?force=true&w=1920
quinoa, https://unsplash.com/photos/oZ4Krez3X5o/download?force=true&w=1920
bulgur, https://unsplash.com/photos/pTrQDKQzJ7U/download?force=true&w=1920
noodles, https://unsplash.com/photos/L7POzOAoaQY/download?force=true&w=1920
lentils, https://unsplash.com/photos/Zare4GwlsoU/download?force=true&w=1920
dried-chickpeas, https://unsplash.com/photos/TO7zLB2i-QI/download?force=true&w=1920
canned-tomatoes, https://unsplash.com/photos/WENdZ6LH9Pg/download?force=true&w=1920
tomato-paste,
canned-tuna, https://unsplash.com/photos/XgG7ah_gQK8/download?force=true&w=1920
canned-corn, https://unsplash.com/photos/p3sqZvh0eVI/download?force=true&w=1920
canned-beans, https://unsplash.com/photos/-OCfbcUtpHw/download?force=true&w=1920
olives, https://unsplash.com/photos/4C25CSqK2PI/download?force=true&w=1920
pickles, https://unsplash.com/photos/BzSMVu_aicI/download?force=true&w=1920
